Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
34,0.03,378.95,94.73750,1.22097,0.34392,0.12551,0,6.69,4,3.4,2.9
67,0.03,378.95,94.73750,1.22097,0.34392,0.12551,0,6.69,4,3.3,2.9
91,0.03,378.95,94.73750,1.22097,0.34392,0.12551,0,6.69,4,3.2,2.9
114,0.03,356.90,89.22500,1.22428,0.34907,0.12684,0,6.24,4,3.1,2.7
17,0.03,346.69,86.67250,1.22743,0.35404,0.12831,0,6.00,4,3.3,2.6
96,0.03,346.69,86.67250,1.22743,0.35404,0.12831,0,6.00,4,3.2,2.6
52,0.03,324.64,81.16000,1.23175,0.36078,0.13013,0,5.55,4,3.1,2.4
113,0.04,314.43,52.40500,1.07661,0.22583,0.04141,0,8.89,6,1.7,2.7
119,0.04,308.81,51.46833,1.07826,0.23110,0.04213,0,8.55,6,1.5,2.6
81,0.04,308.81,51.46833,1.07826,0.23110,0.04213,0,8.55,6,1.7,2.6
63,0.04,308.81,51.46833,1.07826,0.23110,0.04213,0,8.55,6,1.9,2.6
55,0.04,243.72,40.62000,1.07677,0.22555,0.04141,0,6.97,6,1.7,2.1
86,0.03,242.19,60.54750,1.23281,0.36228,0.12944,0,4.20,4,3.4,1.8
103,0.06,240.74,30.09250,1.14076,0.80298,0.18185,0,1.98,8,2.4,0.7
18,0.04,217.52,36.25333,1.07958,0.23379,0.04298,0,6.03,6,1.3,1.8
19,0.03,177.86,44.46500,1.23983,0.37325,0.13214,0,3.04,4,3.4,1.3
40,0.03,177.86,44.46500,1.23983,0.37325,0.13214,0,3.04,4,3.3,1.3
116,0.04,177.38,29.56333,1.07902,0.23074,0.04262,0,5.01,6,1.2,1.5
27,0.03,171.17,42.79250,1.25180,0.39223,0.13789,0,2.80,4,3.4,1.2
2,0.03,171.17,42.79250,1.25180,0.39223,0.13789,0,2.80,4,3.1,1.2
43,0.03,155.36,38.84000,1.24931,0.38824,0.13667,0,2.57,4,3.4,1.1
60,0.04,146.61,24.43500,1.08145,0.23768,0.04388,0,4.04,6,1.1,1.2
66,0.04,132.92,22.15333,1.08097,0.23756,0.04376,0,3.67,6,1.5,1.1
9,0.04,56.68,9.44667,1.07895,0.23045,0.04274,0,1.63,6,1.9,0.5
147,0.03,39.94,9.98500,1.24235,0.37815,0.13253,0,0.70,4,3.2,0.3
131,0.03,17.44,4.36000,1.37627,0.59139,0.19708,0,0.20,4,3.1,0.1
126,7.92,5.26,0.18786,1.68312,3.28750,25.67613,0,0.01,28,2.4,0
105,1.43,3.48,0.17400,1.51327,1.81250,17.50838,0,0.01,20,2.6,0
109,23.26,2.56,0.06737,1.17262,0.73143,9.73323,0,0.02,38,2.2,0
132,33.42,1.32,0.00287,1.00712,0.07843,0.50107,0,0.11,460,0,0
138,55.28,1.24,0.02214,1.05516,0.26609,3.51254,0,0.03,56,2,0
143,0.05,0.91,0.22750,3.75758,0.68939,0.95328,0,0.01,4,3.2,0
137,0.05,0.91,0.22750,3.75758,0.68939,0.95328,0,0.01,4,3.1,0
13,25.58,-9.46,-0.08925,0.80279,-0.79899,-5.00000,0,0.08,106,1.6,0
89,26.64,-13.57,-0.08077,0.83342,-0.89868,-5.00000,0,0.10,168,1.3,0
59,0.05,-14.76,-1.84500,0.89494,-0.43374,-0.13442,0,0.23,8,2.6,0.1
149,30.06,-15.09,-0.05030,0.88629,-0.85014,-5.00000,0,0.12,300,0.8,0
50,30.10,-17.92,-0.04691,0.88625,-0.92086,-5.00000,0,0.13,382,0.4,0
4,0.02,-29.13,-7.28250,0.72900,-0.76517,-0.13227,0,0.25,4,2.9,0.1
76,0.04,-46.55,-7.75833,0.96841,-0.10711,-0.01759,0,2.86,6,2.1,0.9
87,0.04,-62.56,-10.42667,0.96795,-0.10849,-0.01782,0,3.77,6,2.2,1.2
148,0.02,-68.02,-17.00500,0.70687,-0.60825,-0.08971,0,0.74,4,0,0.2
8,0.02,-68.02,-17.00500,0.70687,-0.60825,-0.08971,0,0.74,4,2.8,0.2
124,0.02,-68.02,-17.00500,0.70687,-0.60825,-0.08971,0,0.74,4,0.6,0.2
98,0.02,-68.02,-17.00500,0.70687,-0.60825,-0.08971,0,0.74,4,0.3,0.2
140,0.04,-70.05,-8.75625,0.49003,-0.88660,-0.43220,0,0.53,8,1.6,0.1
134,0.04,-70.05,-8.75625,0.49003,-0.88660,-0.43220,0,0.53,8,0,0.1
120,0.04,-70.05,-8.75625,0.49003,-0.88660,-0.43220,0,0.53,8,0.7,0.1
118,0.02,-75.30,-37.65000,0.65187,-0.54259,-0.17948,0,0.92,2,3.6,0.4
45,0.04,-84.17,-14.02833,0.96551,-0.11712,-0.01923,0,4.68,6,2.4,1.5
46,0.04,-99.15,-16.52500,0.96654,-0.11407,-0.01873,0,5.63,6,2.2,1.8
21,0.02,-112.95,-56.47500,0.65187,-0.54259,-0.17969,0,1.38,2,3.9,0.6
85,0.04,-115.16,-19.19333,0.96334,-0.12474,-0.02051,0,5.97,6,2.2,1.9
122,0.04,-133.75,-22.29167,0.96087,-0.13226,-0.02173,0,6.52,6,2.1,2.1
5,0.02,-138.22,-34.55500,0.76149,-0.60004,-0.10532,0,1.53,4,2.9,0.4
129,0.04,-144.83,-24.13833,0.68190,-0.68085,-0.17899,0,1.41,6,0,0.3
31,0.04,-144.83,-24.13833,0.68190,-0.68085,-0.17899,0,1.41,6,0.1,0.3
84,0.04,-154.94,-25.82333,0.96386,-0.12411,-0.02027,0,7.99,6,2,2.6
10,0.04,-165.35,-27.55833,0.96288,-0.12696,-0.02091,0,8.32,6,2.2,2.7
25,0.04,-165.35,-27.55833,0.96288,-0.12696,-0.02091,0,8.32,6,2.3,2.7
82,0.02,-170.88,-42.72000,0.76121,-0.60461,-0.09328,0,1.87,4,3,0.5
72,0.03,-199.56,-33.26000,0.66270,-0.68443,-0.16503,0,1.93,6,0,0.4
56,0.03,-199.56,-33.26000,0.66270,-0.68443,-0.16503,0,1.93,6,1.7,0.4
142,0.04,-243.56,-40.59333,0.67752,-0.68533,-0.18167,0,2.35,6,0,0.5
99,0.04,-243.56,-40.59333,0.67752,-0.68533,-0.18167,0,2.35,6,0.8,0.5
70,0.02,-250.55,-125.27500,0.65000,-0.54523,-0.18068,0,3.02,2,3.9,1.3
1,0.02,-274.75,-137.37500,0.64669,-0.54989,-0.18257,0,3.28,2,3.9,1.4
151,0.02,-292.46,-73.11500,0.71137,-0.60016,-0.08786,0,3.21,4,0,0.8
71,0.02,-292.46,-73.11500,0.71137,-0.60016,-0.08786,0,3.21,4,0.1,0.8
26,0.04,-295.71,-49.28500,0.67697,-0.68502,-0.18330,0,2.85,6,0.3,0.6
112,0.02,-331.45,-165.72500,0.64831,-0.54761,-0.18202,0,3.96,2,3.6,1.7
35,0.02,-331.45,-165.72500,0.64831,-0.54761,-0.18202,0,3.96,2,3.8,1.7
128,0.02,-365.81,-91.45250,0.70852,-0.60500,-0.08933,0,3.97,4,0.8,1
92,0.02,-365.81,-91.45250,0.70852,-0.60500,-0.08933,0,3.97,4,3,1
39,0.02,-369.10,-184.55000,0.64868,-0.54709,-0.18204,0,4.41,2,3.9,1.9
102,0.02,-369.10,-184.55000,0.64868,-0.54709,-0.18204,0,4.41,2,3.5,1.9
53,0.02,-379.67,-94.91750,0.76622,-0.59059,-0.09156,0,4.21,4,2.9,1.1
14,0.02,-393.30,-196.65000,0.64644,-0.55024,-0.18340,0,4.67,2,3.9,2
30,0.02,-393.30,-196.65000,0.64644,-0.55024,-0.18340,0,4.67,2,3.5,2
20,0.02,-450.00,-225.00000,0.64767,-0.54851,-0.18307,0,5.34,2,3.5,2.3
64,0.02,-450.00,-225.00000,0.64767,-0.54851,-0.18307,0,5.34,2,3.6,2.3
101,0.02,-468.60,-234.30000,0.64732,-0.54900,-0.18331,0,5.55,2,3.5,2.4
73,0.02,-511.85,-255.92500,0.64631,-0.55043,-0.18408,0,6.03,2,3.5,2.6
15,0.02,-516.42,-129.10500,0.71144,-0.59881,-0.08823,0,5.62,4,2,1.4
16,0.02,-530.45,-265.22500,0.64605,-0.55079,-0.18432,0,6.24,2,3.5,2.7
100,0.04,-532.64,-88.77333,0.68756,-0.66947,-0.17773,0,5.21,6,1,1.1
44,0.02,-549.50,-274.75000,0.64669,-0.54989,-0.18409,0,6.47,2,3.6,2.8
79,0.02,-587.15,-293.57500,0.64703,-0.54941,-0.18412,0,6.90,2,3.9,3
42,0.04,-587.60,-97.93333,0.68559,-0.67176,-0.17860,0,5.72,6,0.7,1.2
144,0.02,-589.29,-147.32250,0.70921,-0.60169,-0.08928,0,6.36,4,0,1.6
51,0.02,-631.60,-157.90000,0.70811,-0.60398,-0.08989,0,6.78,4,0,1.7
106,0.02,-631.60,-157.90000,0.70811,-0.60398,-0.08989,0,6.78,4,0.9,1.7
150,0.04,-642.56,-107.09333,0.68395,-0.67367,-0.17984,0,6.23,6,0,1.3
23,0.04,-642.56,-107.09333,0.68395,-0.67367,-0.17984,0,6.23,6,0.5,1.3
135,0.04,-735.96,-122.66000,0.68324,-0.67456,-0.18018,0,7.11,6,0,1.5
32,0.04,-735.96,-122.66000,0.68324,-0.67456,-0.18018,0,7.11,6,0.5,1.5
75,0.04,-735.96,-122.66000,0.68324,-0.67456,-0.18018,0,7.11,6,0.9,1.5
62,0.02,-813.25,-203.31250,0.70985,-0.60040,-0.08953,0,8.72,4,1.1,2.2
83,0.02,-813.25,-203.31250,0.70985,-0.60040,-0.08953,0,8.72,4,3,2.2
141,0.02,-855.08,-213.77000,0.70869,-0.60197,-0.09006,0,9.13,4,0,2.3
36,0.02,-855.08,-213.77000,0.70869,-0.60197,-0.09006,0,9.13,4,1.5,2.3
24,0.02,-855.08,-213.77000,0.70869,-0.60197,-0.09006,0,9.13,4,0.3,2.3
146,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,0,2.4
121,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,2.3,2.4
117,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,1.2,2.4
110,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,2.1,2.4
93,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,0.2,2.4
11,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,0.5,2.4
95,0.02,-881.27,-220.31750,0.70962,-0.60100,-0.08984,0,9.41,4,1.3,2.4
6,0.02,-890.96,-222.74000,0.76873,-0.58434,-0.09130,0,9.75,4,3,2.6
133,0.02,-923.10,-230.77500,0.70856,-0.60242,-0.09033,0,9.82,4,2,2.5
69,0.02,-923.10,-230.77500,0.70856,-0.60242,-0.09033,0,9.82,4,3,2.5
41,0.02,-923.10,-230.77500,0.70856,-0.60242,-0.09033,0,9.82,4,2.2,2.5
22,0.02,-930.80,-232.70000,0.76795,-0.58591,-0.09213,0,10.15,4,2.7,2.7
152,0.04,-969.60,-161.60000,0.68761,-0.66786,-0.17920,0,9.38,6,0,2
108,0.04,-1019.23,-169.87167,0.68719,-0.66818,-0.17894,0,9.84,6,0.3,2.1
107,0.02,-1031.40,-257.85000,0.71066,-0.59835,-0.08962,0,10.99,4,1.8,2.8
115,0.02,-1031.40,-257.85000,0.71066,-0.59835,-0.08962,0,10.99,4,2.8,2.8
7,0.02,-1031.40,-257.85000,0.71066,-0.59835,-0.08962,0,10.99,4,0.3,2.8
58,0.02,-1057.59,-264.39750,0.71138,-0.59764,-0.08947,0,11.26,4,1.4,2.9
127,0.02,-1099.42,-274.85500,0.71043,-0.59895,-0.08993,0,11.67,4,2.4,3
123,0.02,-1099.42,-274.85500,0.71043,-0.59895,-0.08993,0,11.67,4,2.7,3
33,0.02,-1099.42,-274.85500,0.71043,-0.59895,-0.08993,0,11.67,4,2.5,3
57,0.02,-1099.42,-274.85500,0.71043,-0.59895,-0.08993,0,11.67,4,1.9,3
94,0.02,-1099.42,-274.85500,0.71043,-0.59895,-0.08993,0,11.67,4,1.2,3
90,0.02,-1099.42,-274.85500,0.71043,-0.59895,-0.08993,0,11.67,4,2.8,3
130,0.04,-1252.39,-208.73167,0.68953,-0.66412,-0.17860,0,12.06,6,0,2.6
77,0.04,-1252.39,-208.73167,0.68953,-0.66412,-0.17860,0,12.06,6,0.8,2.6
145,0,0.00,0,,0,0,0,0.00,0,4.3,0.3
139,0,0.00,0,,0,0,0,0.00,0,4.7,0
136,0,0.00,0,,0,0,0,0.00,0,4.8,1.5
125,0,0.00,0,,0,0,0,0.00,0,4.8,0.2
111,0,0.00,0,,0,0,0,0.00,0,4.1,2
104,0,0.00,0,,0,0,0,0.00,0,4.4,1.7
97,0,0.00,0,,0,0,0,0.00,0,4.5,0.4
88,0,0.00,0,,0,0,0,0.00,0,5,2.4
80,0,0.00,0,,0,0,0,0.00,0,4.8,0.1
78,0,0.00,0,,0,0,0,0.00,0,4.2,1.8
74,0,0.00,0,,0,0,0,0.00,0,5,0.8
68,0,0.00,0,,0,0,0,0.00,0,4.3,1.6
65,0,0.00,0,,0,0,0,0.00,0,4.2,1
61,0,0.00,0,,0,0,0,0.00,0,4.5,2.7
54,0,0.00,0,,0,0,0,0.00,0,4.4,0.8
49,0,0.00,0,,0,0,0,0.00,0,4.9,2.1
48,0,0.00,0,,0,0,0,0.00,0,4.2,3
47,0,0.00,0,,0,0,0,0.00,0,4.4,1.8
38,0,0.00,0,,0,0,0,0.00,0,4.7,0.7
37,0,0.00,0,,0,0,0,0.00,0,4.9,2
29,0,0.00,0,,0,0,0,0.00,0,4.5,1.4
28,0,0.00,0,,0,0,0,0.00,0,4,0.1
12,0,0.00,0,,0,0,0,0.00,0,4.3,2.9
3,0,0.00,0,,0,0,0,0.00,0,4.6,2.6
0,0,0.00,0,,0,0,0,0.00,0,5,2.1
