Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
122,1.20,5610.13,311.67389,2.03703,3.25831,4.01941,0,10.58,18,0.1,3
130,1.20,4583.59,254.64389,2.02489,3.19565,4.02800,0,8.92,18,0,2.5
66,1.20,4583.59,254.64389,2.02489,3.19565,4.02800,0,8.92,18,0.2,2.5
140,1.20,4197.55,233.19722,2.02315,3.20358,4.04875,0,8.20,18,0,2.3
33,1.20,4197.55,233.19722,2.02315,3.20358,4.04875,0,8.20,18,0.5,2.3
35,1.20,4197.55,233.19722,2.02315,3.20358,4.04875,0,8.20,18,0.6,2.3
26,1.20,3223.05,179.05833,2.00891,3.17623,4.07830,0,6.43,18,0.1,1.8
97,0.20,2372.04,197.67000,1.42801,1.50856,0.81368,0,8.84,12,0.3,2.9
132,0.20,2276.38,189.69833,1.42430,1.50357,0.80740,0,8.57,12,0,2.8
127,1.20,1904.29,105.79389,1.99541,3.09651,4.09986,0,3.98,18,0,1.1
23,1.20,1904.29,105.79389,1.99541,3.09651,4.09986,0,3.98,18,0.6,1.1
24,0.30,1403.00,100.21429,1.38530,1.06154,1.26253,0,8.79,14,2,1.9
82,0.98,1374.72,68.73600,1.27686,0.92742,1.68240,0,9.64,20,2.1,2.8
135,1.20,1368.95,76.05278,1.98728,3.06974,4.11178,0,2.91,18,0,0.8
115,1.20,1368.95,76.05278,1.98728,3.06974,4.11178,0,2.91,18,0.6,0.8
128,0.21,1283.63,106.96917,1.42644,1.56622,0.82439,0,4.97,12,0,1.6
80,0.21,1283.63,106.96917,1.42644,1.56622,0.82439,0,4.97,12,0.5,1.6
17,0.99,1242.52,62.12600,1.28097,0.93578,1.71165,0,8.66,20,2.1,2.5
70,0.99,1153.43,57.67150,1.28356,0.94342,1.72754,0,7.98,20,2.2,2.3
87,0.95,1097.67,54.88350,1.19185,0.72268,1.60489,0,10.09,20,1.9,2.2
7,1.00,957.03,47.85150,1.28520,0.94301,1.74597,0,6.65,20,2.1,1.9
25,0.07,859.85,143.30833,1.70787,1.06257,0.54988,0,5.26,6,3.2,1.6
57,0.10,725.68,60.47333,1.16036,0.46792,0.33631,0,9.73,12,0.4,2.2
120,0.35,719.10,44.94375,1.12063,0.56476,0.67871,0,8.46,16,1.9,2.6
114,0.07,659.00,82.37500,1.26322,0.59445,0.47520,0,7.37,8,3,2.2
42,0.07,597.08,99.51333,1.72088,1.08196,0.55862,0,3.62,6,3.2,1.1
10,1.03,471.76,23.58800,1.30090,0.97038,1.84299,0,3.21,20,2.2,0.9
99,0.07,364.84,45.60500,1.26244,0.59506,0.48592,0,4.08,8,3.1,1.2
34,0.12,336.36,28.03000,1.07361,0.18526,0.16072,0,11.33,12,0.6,2.4
83,0.10,332.28,33.22800,1.09137,0.18206,0.27580,0,12.12,10,2.9,2.8
55,0.10,290.71,29.07100,1.09638,0.19265,0.29414,0,10.02,10,2.9,2.3
53,0.07,274.16,34.27000,1.26275,0.59705,0.49128,0,3.06,8,3,0.9
11,0.07,247.76,30.97000,1.26757,0.60948,0.49920,0,2.71,8,3,0.8
131,0.12,223.52,18.62667,1.07936,0.19852,0.17141,0,7.20,12,0,1.5
138,0.10,203.18,20.31800,1.10139,0.20387,0.31501,0,6.63,10,2.8,1.5
116,0.12,180.58,15.04833,1.08022,0.20002,0.17288,0,5.82,12,0.7,1.2
79,0.34,175.37,10.96063,1.11483,0.35344,0.58344,0,3.30,16,1.8,0.7
52,0.12,151.65,12.63750,1.08109,0.20361,0.17589,0,4.83,12,0,1
92,0.10,126.45,12.64500,1.10391,0.21005,0.32876,0,4.01,10,2.9,0.9
111,0.12,84.08,7.00667,1.09084,0.22867,0.19421,0,2.42,12,0,0.5
59,0.14,24.62,1.75857,1.01239,0.02969,0.07658,0,5.35,14,2.4,1.4
89,0.14,17.30,1.23571,1.00578,0.01384,0.03586,0,7.95,14,2.4,2.1
86,0.05,9.33,1.16625,1.06271,0.17391,0.04597,0,0.36,8,1.2,0.1
102,0.11,1.00,0.12500,1.35714,0.68966,2.31414,0,0.01,8,3.1,0
100,31.93,-0.71,-0.00147,0.99627,-0.04126,-0.25318,0,0.11,484,0,0
137,1.04,-2.84,-0.11833,0.77673,-0.74151,-5.00000,0,0.03,24,2.4,0
6,0.14,-5.94,-0.42429,0.99846,-0.00369,-0.00961,0,10.10,14,2.4,2.7
9,33.01,-6.84,-0.03455,0.92414,-0.52982,-5.00000,0,0.09,198,1.1,0
47,30.06,-9.64,-0.04342,0.90107,-0.58781,-5.00000,0,0.11,222,1,0
21,27.19,-13.06,-0.04325,0.89926,-0.62940,-5.00000,0,0.14,302,0.7,0
22,0.15,-15.88,-1.32333,0.90883,-0.19073,-0.18879,0,0.55,12,0.4,0.1
139,0.08,-33.24,-3.32400,0.96081,-0.09844,-0.05417,0,2.23,10,0.3,0.4
74,0.08,-33.24,-3.32400,0.96081,-0.09844,-0.05417,0,2.23,10,0.1,0.4
61,0.58,-47.28,-2.36400,0.75878,-0.36194,-1.51962,0,0.87,20,2,0.1
133,0.08,-56.41,-5.64100,0.96029,-0.09438,-0.05769,0,3.91,10,0,0.7
65,0.08,-64.62,-6.46200,0.95462,-0.13024,-0.06986,0,3.30,10,1.5,0.7
