regression_period,lookback_period,entry_z,stop_z,takeprofit_z,risk_percent,tp_multiple,min_correlation,sl_type,tp_type,stoploss_percent,max_lots,avg_split_sharpe,combined_sharpe,split_0_sharpe,split_1_sharpe,split_2_sharpe,split_3_sharpe,split_4_sharpe,split_5_sharpe,split_6_sharpe,split_7_sharpe,split_8_sharpe,split_9_sharpe,split_10_sharpe,split_11_sharpe,split_12_sharpe,split_13_sharpe,split_14_sharpe
252,20,0.0,0.5,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-281.4862148784822,-4.376919466287722,-31.582032482357807,10.23823566873032,-50.85895475227386,-25.91931824238841,-999.0,-999.0,11.28240716138765,10.15278993262158,-15.617502259235007,-38.86748133202692,-36.967189632437815,-999.0,-999.0,-38.92401612535038,-19.23016111390303
252,20,0.0,0.6,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-296.1032056728671,2.4434102017028847,-44.45464536676155,-23.720968190934972,-43.1894410770427,-54.60359582583166,-999.0,-999.0,-55.62348647805895,-21.42958454172641,-33.42813825627103,-27.832614960333967,-42.61590087358282,-999.0,-999.0,-37.37296155792143,-61.27674796454215
252,20,0.0,1.7,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-295.09422468070903,-3.5131579376512834,-45.906839413260464,-58.97361644680186,-53.6257856791526,-15.206034456738223,-999.0,-999.0,-53.62355626925173,-17.24542189804583,-11.41921973616573,-50.41826518193996,-45.410912321303464,-999.0,-999.0,-19.494517824232034,-59.089200983743815
252,20,0.0,1.8,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-290.3977445467131,-3.9572041259787865,-19.67537405062335,-19.520912592478382,-22.76708011785544,-3.9925643745563018,-999.0,-999.0,-35.963827780549146,-59.98846894859506,-54.008322395182816,-60.8589516719358,-27.943156042531378,-999.0,-999.0,-30.26811943128791,-24.979390795100937
252,20,0.0,1.9,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-289.26847718401467,3.248642900909158,-45.91360684960267,-40.33486375950282,-32.27753234939206,15.191489585653054,-999.0,-999.0,7.369320654012452,-34.38918098880719,-27.999047846511896,-48.410835214956755,-88.52912727105054,-999.0,-999.0,10.55913664516634,-58.29291036522763
252,20,0.0,2.0,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-285.7146677747658,-2.0941282498354674,-4.958827785579638,-34.927537963953725,-29.25639945583272,-18.63947359202883,-999.0,-999.0,-47.70888927549872,-41.99425729532694,-22.901196845978124,-26.039866612188842,-54.573016540110366,-999.0,-999.0,8.641775594685846,-17.362326849675203
252,20,0.0,0.7,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-287.6700693653562,-4.990728627584534,-63.58760061201518,7.196660669740252,-35.824109820324296,-29.500793530320742,-999.0,-999.0,-52.600937697795175,11.111348853599358,-35.937869823931855,-23.32357445233346,-42.1783586716814,-999.0,-999.0,-17.492992186027035,-36.91281320925295
252,20,0.0,2.1,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-289.0682282155573,4.272529243321523,-2.3031379583877696,-49.75455343388148,-22.56964756606337,-43.899670462561865,-999.0,-999.0,-44.95353589030413,-21.429355648948114,-23.101410069514525,-30.92843578970478,-33.57602141905486,-999.0,-999.0,-23.32309546195331,-44.18455953298523
252,20,0.0,2.2,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-295.5662120925691,5.2335924757339045,-29.42949391012704,-31.23431539970778,-40.69731012176649,-54.82680306218345,-999.0,-999.0,-36.911336047606376,-43.70380045908358,-46.084011757936665,-28.70804808538989,-63.277212341898235,-999.0,-999.0,-13.547928264403383,-49.07292193843361
252,20,0.0,0.8,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-297.8104419317158,6.147524982935402,-47.65648353405817,-45.596744369894004,-28.039751815572817,-54.52502239540472,-999.0,-999.0,-45.71310985084794,-24.553386550931194,-71.99927832077417,-24.795226268114313,-67.593990796813,-999.0,-999.0,-27.306580629143685,-33.37705444418316
252,20,0.0,2.3,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-283.493194819542,4.224816996575492,6.811243662895553,-37.88549374129271,-23.012399028059566,-25.01867059945343,-999.0,-999.0,-50.601723471164135,-35.71843746506554,-39.28439182199693,12.529948916923265,-29.142914956073966,-999.0,-999.0,-12.531236445811611,-22.54384734403182
252,20,0.0,2.4,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-287.7184896367751,7.699745362630411,7.839899575873501,-33.9899088727648,-51.31440879309757,-26.436979393936717,-999.0,-999.0,-5.770345679490205,-34.566034802617864,-34.66831412941706,-36.16796991577465,-54.097798935792035,-999.0,-999.0,-16.328823639976303,-34.27665996463195
252,20,0.0,2.5,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-291.1945728843456,5.00717680660924,-6.552132836375243,-26.41903947878913,-47.13673581202239,-55.618946659887186,-999.0,-999.0,-47.25647757704344,-16.24905857827372,-39.39194287063459,-36.259667217509424,-49.03736499903168,-999.0,-999.0,-24.16225169360463,-23.834975542012547
252,20,0.0,2.6,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-287.69489230857215,8.06796917047058,12.36920887576264,-16.72593331158297,-39.37906443526377,-46.507449636197265,-999.0,-999.0,-34.496825990399515,-38.97416849695531,-32.18639495352795,-32.567650016521654,-40.08119275741391,-999.0,-999.0,-19.269345481940668,-31.60456842454173
252,20,0.0,2.7,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-284.8930710497114,-5.674700247203829,14.857358262422506,-24.358256796673704,-18.950832481507554,-42.76072971321794,-999.0,-999.0,-53.53845322469569,-34.3588439034508,-17.306687939964952,-4.6092127301083465,-41.89136262277507,-999.0,-999.0,-14.295760214013159,-40.18328438168652
252,20,0.0,0.9,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-287.45035156614983,-6.171653282622479,-21.506182578474743,-24.401324751070913,-14.685753573217898,-20.289062780315408,-999.0,-999.0,-26.143103061154193,-23.284132661373864,-20.172587591118617,-38.14528385037885,-33.726269359075,-999.0,-999.0,-38.56962740538349,-54.83194588068329
252,20,0.0,2.8,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-281.33192181064334,7.150859460261022,2.7955832941510055,0.10612370327780203,-33.53439730453477,-30.78827773560885,-999.0,-999.0,-40.30838507567098,-22.654322529119316,-24.554406699303005,-15.918840140027894,-12.282189240798026,-999.0,-999.0,-15.750683948406783,-31.089031483609016
252,20,0.0,2.9,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-282.7213580449591,2.693852609120234,-16.691775905996195,5.625441703451796,-15.087932500822431,-38.34705459312573,-999.0,-999.0,-39.73906616121853,-25.14417514383513,-25.731401315859795,-21.35576785426548,-38.063746049905305,-999.0,-999.0,7.766359911473555,-38.05125276428401
