entry_idx,exit_idx,pnl
55,56,58.52277980905987
57,58,60.89749188652796
60,61,28.894056465472346
68,69,78.30165649352172
71,72,10.116741659216052
75,76,57.0466221416539
87,88,70.16446073117297
99,100,78.40852429406091
114,115,-112.33196668111285
119,120,107.50695830098492
131,132,-41.207175801599746
135,136,22.02483036541139
161,162,-75.47871371026602
163,164,-41.129179978594216
180,181,80.41286423298038
187,188,-150.0558585013876
189,190,-34.210085036610856
191,192,54.31855627157322
213,214,114.21544387037429
219,220,-33.63700485933253
221,222,-60.80402406969924
224,225,117.71739787896817
230,231,-3.6160721317855886
232,233,18.5449450655016
236,237,38.81591191193656
239,240,16.72899947779686
261,262,60.830943949006006
265,266,90.33744811102666
277,278,-17.77233329387648
279,280,-47.49147725112232
282,283,28.300465351251713
284,285,-3.6985755531175744
290,291,-11.298926791401767
292,293,57.87572634444978
316,317,17.619937399789876
318,319,-4.541271873144244
344,345,5.480027842614144
346,347,20.35682410361797
348,349,42.10944933383813
359,360,78.15355716335786
367,368,30.456834576182935
395,398,-83.58937852684967
399,400,73.42914335491041
457,458,-26.43008286108418
470,471,12.25948257842307
480,481,129.85356643613187
496,497,158.13233600567688
499,500,-0.634644981980848
510,511,67.91739465428424
519,520,29.61710670267121
536,537,-10.487903072584485
541,542,36.291213996819586
556,557,12.876596586212534
558,559,15.52947101869174
600,601,-137.97123499430097
602,603,41.54744485053918
604,612,56.41307697641376
642,643,-16.904546394803834
644,645,-86.74726747647078
646,647,-3.3384215754208295
650,651,-59.55361727397997
652,653,70.31075682242432
665,666,75.20559293800795
668,669,11.577137119690605
670,671,36.259995489635344
679,680,9.34670193149942
715,716,-96.12072167000429
717,718,10.7080626563997
719,720,-42.324654723977204
735,736,-41.92675635535333
737,738,46.54807158851069
746,747,37.220277413391564
756,757,1.6022636087531927
777,778,49.64865427725023
779,780,127.48348171266315
785,786,26.547393855083463
799,800,82.42515625455357
805,806,-16.480932966936553
809,810,-4.593047506168063
815,816,20.75101950759601
836,837,15.581105662152806
838,839,-14.232357213745601
840,841,24.01277902836783
880,881,-47.74474773015536
882,883,-19.34594026959499
884,890,55.645316006296504
906,907,11.495113365287322
908,909,-23.334002935190785
910,911,-10.921213129218678
912,913,-6.720363901460376
928,929,148.11166364109255
961,962,96.93389914288575
966,967,9.4472964777337
968,969,64.9314236102739
984,985,47.00720890369396
989,990,-142.00331972013353
997,998,-77.32889755882432
1004,1005,6.741182493661281
1006,1007,46.01601337516236
1021,1022,13.209789215151716
1023,1024,-28.735160972063444
1025,1026,36.926681418123295
1035,1036,4.348766706783672
1037,1038,92.22381118092125
1049,1050,-16.455593164977806
1051,1052,28.317432924347358
1057,1058,-67.43697778645289
1076,1077,4.324985100216774
1078,1079,95.2109514855713
1099,1100,-71.82274734031013
1101,1102,-108.21521894567431
1103,1104,22.977770470174836
1129,1130,47.26274537367368
1131,1132,-2.3818136532579928
1150,1151,-264.66840127586084
1152,1153,-74.19641508272665
1154,1155,15.983271512295033
1169,1170,-104.05512319297543
1171,1172,-47.60224013697687
1173,1174,0.8025331938116984
1196,1197,39.46185878700823
1206,1207,-88.68553492698852
1208,1209,-28.02357593661741
1210,1211,17.15794299956399
1212,1213,-55.65558231802545
1242,1286,99.07277338620179
1293,1294,-31.53906648295537
1301,1302,-38.190507804862676
1304,1305,41.79824907889197
1317,1318,-27.7965831589281
1319,1320,-20.888790454381322
1334,1336,99.53473881784831
1355,1356,88.80601121991151
1358,1359,102.69233921691199
1369,1370,85.16472440940626
1378,1379,91.1485743906377
1388,1390,-142.0631076658496
1391,1392,25.06356235349281
1393,1394,-89.67323534960332
1396,1397,-90.4275882693016
1399,1400,26.148164145613297
1412,1413,13.826397993474217
1417,1418,25.014003896256625
1419,1420,42.867514776648996
1437,1438,29.49620894119826
