entry_idx,exit_idx,pnl
39,40,119.58917070857643
57,58,-81.0743311594363
59,60,63.28833775946106
80,81,160.40150760525867
85,86,-36.543630254272486
90,91,75.81549570992858
107,108,13.204328666780428
109,110,50.836018958755
114,115,-45.82809053485361
116,117,37.378057397963374
140,141,224.5481053983853
155,156,86.92082170694952
167,168,6.24840181034674
169,170,56.32616189410776
172,173,7.290707458304097
174,175,-25.686904599364972
177,178,-35.31224362961275
179,180,-128.5640628563834
181,182,-7.664857243495931
183,184,15.45275684376819
225,226,27.229203050103475
229,230,-69.79947502592736
231,232,-177.50037542151867
233,234,48.917300387032675
255,256,8.852493325488524
257,258,14.028539664439629
263,264,44.1966785867037
266,267,68.75669555695309
269,270,-45.10075973903743
300,301,43.21142093606328
308,309,49.34993595834039
334,335,3.941107266076439
336,337,40.73271582846184
360,361,-2.5623252450094944
364,365,-21.592555003835113
366,367,43.22084498157075
389,390,-75.50462591112833
404,405,11.730178127190406
419,421,66.86023568413765
437,438,-8.321754189374454
439,440,87.49873066279433
445,446,110.36678022913115
447,448,30.768649234884663
472,473,-201.75181824531973
474,475,32.39277457736449
476,477,-111.59387315555816
478,479,14.094240738436948
504,505,16.078261318491332
512,513,49.11673197267907
515,516,-52.786026050791754
517,518,-21.208504720908834
532,533,-114.49842129373546
534,535,-4.690016781936212
544,545,-14.74099344886858
546,547,-13.219605676098368
550,551,30.17958362785202
559,560,-128.71881553335524
561,562,9.864738575185509
576,577,-28.08780510892907
578,579,7.8097910638835675
580,581,0.16013806262653327
593,594,43.45389885884859
595,596,-74.92028275706481
605,606,-105.88350126002214
607,608,-14.605475019945038
609,610,13.30235596809598
611,612,-25.182175419510077
614,615,-57.63495101572336
616,617,-71.08064601349005
687,688,-270.288927854481
700,701,-47.16076280466501
703,704,69.25328786864678
713,714,-4.983204415656918
715,716,-48.51805566697323
717,718,-45.53574328396557
719,720,-14.860311008728198
742,743,32.766943301367306
746,747,21.294321989053607
749,750,3.567424062808162
773,774,-5.869977777891784
775,776,-113.87957055592585
785,786,-9.788915174485897
787,788,27.93657645058153
789,790,-23.548314530631718
804,805,-49.96856237187022
806,807,0.13184389250523038
808,809,-1.751536959212597
810,811,36.59736557013265
824,825,18.762211024371684
828,829,30.76307136953269
837,838,12.806363815062447
848,849,-6.415754569579209
877,878,88.29051758213743
887,888,11.304556521818064
891,892,23.85398419799663
915,916,16.91726182398895
924,925,-68.03316549554089
928,929,34.47877126928682
938,939,11.880375712054976
948,949,-6.552823964801775
950,951,-46.433967517413336
952,953,-26.01848279486284
954,955,-37.93678036253055
985,986,9.337554093632557
991,992,-10.47331532772455
999,1000,-28.409619193513414
1001,1002,-63.8736235718773
1003,1004,-67.41943656341617
1013,1014,-102.96866184286864
1015,1016,17.358869890112768
1018,1019,-98.71200720834538
1020,1021,41.160032385960335
1036,1037,-18.820624666401674
1038,1039,16.982414756227918
1060,1061,-30.288861589986038
1062,1063,53.047803835566654
1073,1074,1.476116717917497
1075,1076,53.608302009497045
1088,1089,-20.323778739108537
1107,1108,-24.365006203019707
1109,1110,-6.310294933323665
1111,1112,15.014779321609895
1118,1119,-44.14133186189545
1121,1122,19.695106311884725
1128,1129,53.13515533598377
1141,1142,-70.46274779856755
1143,1144,-68.52484804645948
1145,1146,14.202058760481226
1147,1148,-24.421426267751848
1172,1173,40.82341504223146
1187,1188,-96.92335440907446
1189,1190,-16.971078915569247
1191,1192,6.0746105994913275
1208,1209,10.444705035490498
1210,1211,17.228465517638192
1220,1221,-32.525528655560706
1229,1230,-13.500079104015043
1243,1244,42.75097679788517
1245,1246,30.588274459128854
1269,1270,51.47384575226947
1275,1276,38.23782717169617
1286,1287,-40.061393484833694
1293,1294,19.394926499151993
1309,1310,15.586957220304138
1320,1321,-35.64703910251636
1339,1340,14.679999360392296
1341,1342,-91.17854431159721
1356,1357,-21.721375501784276
1358,1359,-14.339553497706909
1360,1361,33.5024048399809
1370,1371,26.568088867226177
1378,1379,35.396519776460295
1380,1381,-10.214709850803999
1382,1383,24.648881009403773
1406,1407,-152.45404837184043
1408,1409,48.918835147349306
1413,1414,14.748413113079122
1433,1434,-325.6793620391316
1435,1436,-10.54051581537878
