Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopZScore
6262,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.2
6363,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.3
6464,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.4
6565,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.5
6666,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.6
6767,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.7
6868,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.8
6969,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0,6.9
7070,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0,7
7171,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0,7.1
7272,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.2
7373,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.3
7474,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.4
7575,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.5
7676,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.6
7777,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.7
7878,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.8
7979,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,7.9
8080,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8
8181,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.1
8282,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.2
8383,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.3
8484,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.4
8585,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.5
8686,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.6
8787,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.7
8888,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.8
8989,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,8.9
9090,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9
9191,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.1
9292,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.2
9393,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.3
9494,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.4
9595,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.5
9696,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.6
9797,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.7
